code,en,da,fr,it,de,nl,es,no,sv,tr,bg,cs,hu,pl,rm,ru,sk,jp
0,"Sunny skies/Clear skies",Solrigt/Skyfrit,Ensoleillé/Dégagé,Sereno/Soleggiato,Sonnig,Zonnig/Helder,Soleado/Despejado,"Klar himmel/Sol",Klart/Soligt,"Açik gökyüzü/Günesli gökyüzü","Ясно небе/Слънчево време",Jasno/Slunecno,"Derült égbolt/Napfényes égbolt","Bezchmurne niebo/Slonecznie","Cer senin/Cer înseninat",Ясно/Солнце,Jasno/Slnecno,快晴
1,"Partly cloudy skies",Halvskyet,Altern.nuages/soleil,"Parzialmente nuvoloso ","Teilw. Bewölkt","Gedeeltelijk bewolkt","Parcialmente nuboso","Delvis skyet ","Delvis molnigt ","Parçali bulutlu gökyüzü ","Разкъсана облачност","Polojasno ","Enyhén felhos égbolt ","Zachmurzenie czesciowe ","Cer partial senin ","Переменная облачность ","Polooblacno ",所によりくもり
2,"Cloudy skies",Skyet,Nuageux,Nuvoloso,Bewölkt,Bewolkt,Nuboso,Skyet,Molnigt,"Bulutlu gökyüzü","Облачно време",Oblacno,"Felhos égbolt",Zachmurzenie,"Cer acoperit cu nori",Облачно,Oblacno,くもり
3,"Overcast skies",Overskyet,Couvert,Coperto,Bedeckt,"Zwaar bewolkt",Cubierto,Overskyet,Mulet,"Kapali gökyüzü","Ниска облачност",Zataženo,"Borús égbolt","Zachmurzone niebo","Cer înnorat",Пасмурно,Zamracené,どんよりしたくもり
10,Mist,"Let tågedis",Brumeux,Foschia,Dunst,Nevel,Neblina,Dis,Dimma,Pus,"Намалена видимост",Kourmo,Ködfátyol,Mgla,Ceata,Туман,Hmla,霧
21,"Patchy rain possible","Stedvis let regn","Quelques pluies","Possibilità di piogge sparse","Gelegentlich Regen","Af en toe regen","Lluvia ligera aislada o llovizna","Mulighet for spredte regnbyger","Risk för spridda regnskurar","Yer yer yagmur olasiligi","Вероятност за превалявания","Ojedinele déšt","Elszórtan eso várható","Przelotne deszcze","Pe alocuri, posibile precipitatii sub forma de ploaie","Местами возможен дождь","Možný lokálny dážd",所により雨
22,"Patchy snow possible","Lokale lette sludbyger","Averses de grésil","Possibilità di nevicate sparse","Leichte Graupelsch.","Natte sneeuwbuien","Chubascos ligeros de aguanieve aislados ","Mulighet for spredte snøbyger","Risk för spridda snöbyar","Yer yer kar olasiligi","Вероятност за превалявания от сняг","Ojedinele snežení","Elszórtan hó várható","Przelotne opady sniegu","Pe alocuri, posibile precipitatii sub forma de ninsoare","Местами возможен снег","Možné lokálne sneženie",所により雪
23,"Patchy sleet possible","Stedvis let slud","Grésil occasionnel","Possibilità di nevischio sparso","Geleg. Schneeregen","Soms natte sneeuw","Ligera aguanieve aislada","Mulighet for spredt sludd","Risk för spridda skurar av snöblandat regn","Yer yer sulu kar olasiligi","Вероятност за превалявания от мокър сняг","Ojedinele déšt se snehem","Elszórtan hódara eshet","Przelotny snieg z deszczem","Pe alocuri, posibile precipitatii sub forma de lapovita","Местами возможен мокрый снег","Možný lokálny dážd so snehom",所によりみぞれ
24,"Patchy freezing drizzle possible","Let isslag","Brume givrante","Possibilità di pioviggine ghiacciata sparsa","Leichter Schneeregen","Lichte natte sneeuw","Llovizna helada","Mulighet for spredt yr som fryser på bakken","Risk för spridda skurar av underkylt duggregn","Yer yer donan çisenti olasiligi","Вероятност за преръмявания","Ojedinele mrznoucí mrholení","Elszórtan dérszitálás várható","Przelotna marznaca mzawka","Pe alocuri, posibile precipitatii sub forma de chiciura","Местами возможен дождь и гололед","Možné lokálne mrznúce mrholenie",所により着氷性の霧雨
29,"Thundery outbreaks possible","Delvist overskyet med regn og risiko for torden","Pluies orageuses","Possibili rovesci temporaleschi",Regen/Gewitter,Regen/donder,"Parcialmente nuboso con lluvias y riesgo de tormentas","Mulighet for torden","Risk för åskskurar","Gök gürültülü firtina olasiligi","Вероятност за гръмотевици","Výskyt bourek","Hirtelen kitöro viharok várhatók","Mozliwe burze","Posibile fulgere","Возможны кратковременные грозы","Možné náhle búrky",雷の可能性
